id;student_id;course_id;year
1;37561;124;2018
2;33756;122;2018
3;11381;110;2018
4;38740;101;2018
5;46959;12;2018
6;44228;32;2018
7;62371;94;2018
8;70128;91;2018
9;91201;41;2018
10;45336;163;2018
11;43793;166;2018
12;77524;135;2018
13;3598;9;2018
14;94794;96;2018
15;88398;98;2018
16;95620;113;2018
17;66113;164;2018
18;31471;29;2018
19;83693;158;2018
20;32341;28;2018
21;11141;103;2018
22;60513;143;2018
23;61080;81;2018
24;65624;33;2018
25;7415;22;2018
26;24977;92;2018
27;19436;77;2018
28;85320;119;2018
29;32698;60;2018
30;48568;152;2018
31;53981;136;2018
32;86888;21;2018
33;86;19;2018
34;3676;105;2018
35;21872;23;2018
36;36816;149;2018
37;30839;146;2018
38;11146;93;2018
39;81499;27;2018
40;72782;156;2018
41;42473;131;2018
42;74690;13;2018
43;51124;165;2018
44;72719;87;2018
45;26650;76;2018
46;86249;39;2018
47;8353;127;2018
48;56520;17;2018
49;95054;114;2018
50;17225;62;2018
51;49755;40;2018
52;31106;6;2018
53;83759;51;2018
54;45254;149;2018
55;23208;12;2018
56;70154;137;2018
57;81015;138;2018
58;39995;68;2018
59;62400;32;2018
60;12561;21;2018
61;17268;128;2018
62;88780;10;2018
63;77821;71;2018
64;76846;104;2018
65;6283;127;2018
66;20519;28;2018
67;43049;24;2018
68;91771;134;2018
69;62658;58;2018
70;39547;75;2018
71;75612;128;2018
72;69690;138;2018
73;16906;113;2018
74;86558;59;2018
75;24713;86;2018
76;85166;141;2018
77;76730;60;2018
78;44798;104;2018
79;16579;140;2018
80;34794;143;2018
81;12256;36;2018
82;82470;87;2018
83;12750;88;2018
84;10760;119;2018
85;32182;162;2018
86;20890;88;2018
87;36216;40;2018
88;79092;56;2018
89;93653;43;2018
90;38766;35;2018
91;58467;79;2018
92;14701;123;2018
93;77960;35;2018
94;46027;107;2018
95;31131;25;2018
96;93894;19;2018
97;24062;26;2018
98;62350;94;2018
99;21434;126;2018
100;6363;51;2018
101;39927;31;2018
102;225;83;2018
103;8250;167;2018
104;38542;28;2018
105;54011;109;2018
106;78249;52;2018
107;83124;44;2018
108;92641;100;2018
109;34362;61;2018
110;59756;105;2018
111;21843;144;2018
112;39076;43;2018
113;78076;28;2018
114;69415;30;2018
115;1650;117;2018
116;79143;78;2018
117;73937;45;2018
118;64594;92;2018
119;16038;73;2018
120;32107;52;2018
121;78859;154;2018
122;70077;142;2018
123;63108;145;2018
124;34004;90;2018
125;20920;63;2018
126;7916;19;2018
127;77478;10;2018
128;39568;62;2018
129;2932;99;2018
130;74501;69;2018
131;32030;83;2018
132;20412;81;2018
133;73782;99;2018
134;62120;79;2018
135;1366;152;2018
136;6301;84;2018
137;42074;41;2018
138;72245;152;2018
139;29797;56;2018
140;1260;24;2018
141;3453;4;2018
142;87628;158;2018
143;63802;20;2018
144;36805;157;2018
145;47488;98;2018
146;32210;44;2018
147;19459;122;2018
148;17184;167;2018
149;14883;162;2018
150;92804;47;2018
151;84801;19;2018
152;14351;133;2018
153;66820;54;2018
154;88632;128;2018
155;33245;152;2018
156;1255;86;2018
157;92737;143;2018
158;32759;10;2018
159;21308;152;2018
160;79614;162;2018
161;31022;4;2018
162;55866;141;2018
163;23905;134;2018
164;45313;18;2018
165;56710;38;2018
166;38490;62;2018
167;23619;43;2018
168;1152;96;2018
169;36506;52;2018
170;95809;87;2018
171;99434;98;2018
172;25403;51;2018
173;11866;74;2018
174;60630;155;2018
175;94928;99;2018
176;56994;157;2018
177;64112;71;2018
178;78634;57;2018
179;30499;22;2018
